"state","state1","zipcode","age","DOB","HII_P"
"##Alabama","AL","35215","30","03/06/1985","${HII_P}"
"##Alaska","AK","99504","30","03/06/1985","${HII_P}"
"##Arkansas","AR","72209","30","03/06/1985","${HII_P}"
"##Arizona","AZ","85364","30","03/06/1985","${HII_P}"
"##California","CA","90011","30","03/06/1985","${HII_P}"
"##Colorado","CO","80219","30","03/06/1985","${HII_P}"
"##Connecticut","CT","6606","30","03/06/1985","${HII_P}"
"##Delaware","DE","19805","30","03/06/1985","${HII_P}"
"##DC","DC","20015","30","03/06/1985","${HII_P}"
"Florida","FL","33186","30","03/06/1985","${HII_P}"
"##Georgia","GA","30044","30","03/06/1985","${HII_P}"
"##Hawaii","HI","96818","30","03/06/1985","${HII_P}"
"##Iowa","IA","50317","30","03/06/1985","${HII_P}"
"##Idaho","ID","83709","30","03/06/1985","${HII_P}"
"Illinois","IL","60629","30","03/06/1985","${HII_P}"
"##Indiana","IN","46227","30","03/06/1985","${HII_P}"
"##Kansas","KS","66062","30","03/06/1985","${HII_P}"
"##Kentucky","KY","40214","30","03/06/1985","${HII_P}"
"##Louisiana","LA","70816","30","03/06/1985","${HII_P}"
"##Massachusetts","MA","2128","30","03/06/1985","${HII_P}"
"##Maryland","MD","21215","30","03/06/1985","${HII_P}"
"##Maine","ME","4401","30","03/06/1985","${HII_P}"
"##Michigan","MI","48228","30","03/06/1985","${HII_P}"
"##Minnesota","MN","55106","30","03/06/1985","${HII_P}"
"##Missouri","MO","63129","30","03/06/1985","${HII_P}"
"##Mississippi","MS","39503","30","03/06/1985","${HII_P}"
"##Montana","MT","59102","30","03/06/1985","${HII_P}"
"##North Carolina","NC","28269","30","03/06/1985","${HII_P}"
"##North Dakota","ND","58103","30","03/06/1985","${HII_P}"
"##Nebraska","NE","68104","30","03/06/1985","${HII_P}"
"##New Hampshire","NH","3103","30","03/06/1985","${HII_P}"
"##New Jersey","NJ","8701","30","03/06/1985","${HII_P}"
"##New Mexico","NM","87121","30","03/06/1985","${HII_P}"
"##Nevada","NV","89110","30","03/06/1985","${HII_P}"
"##New York","NY","11226","30","03/06/1985","${HII_P}"
"##Ohio","OH","43228","30","03/06/1985","${HII_P}"
"##Oklahoma","OK","73160","30","03/06/1985","${HII_P}"
"##Oregon","OR","97229","30","03/06/1985","${HII_P}"
"##Pennsylvania","PA","19120","30","03/06/1985","${HII_P}"
"##Rhode Island","RI","2909","30","03/06/1985","${HII_P}"
"##South Carolina","SC","29223","30","03/06/1985","${HII_P}"
"##South Dakota","SD","57106","30","03/06/1985","${HII_P}"
"##Tennessee","TN","37013","30","03/06/1985","${HII_P}"
"##Texas","TX","79936","30","03/06/1985","${HII_P}"
"##Utah","UT","84120","30","03/06/1985","${HII_P}"
"##Virginia","VA","23464","30","03/06/1985","${HII_P}"
"##Vermont","VT","5401","30","03/06/1985","${HII_P}"
"##Washington","WA","98115","30","03/06/1985","${HII_P}"
"##Wisconsin","WI","53215","30","03/06/1985","${HII_P}"
"##West Virginia","WV","25302","30","03/06/1985","${HII_P}"
"##Wyoming","WY","82001","30","03/06/1985","${HII_P}"
